Player,PLAYER_ID,Averages 25+ PPG?,Averages 20+ PPG?,Averages 15+ PPG?,Averages 10+ PPG?,Averages 10+ RPG?,Averages 5+ RPG?,Averages 7+ APG?,Averages 4+ APG?,Averages 1.5+ SPG?,Averages 1+ SPG?,Averages 1.5+ BPG?,Averages 1+ BPG?,Averages 3+ 3PM?,Averages 1+ 3PM?,Averages 30+ min per game?,Averages 20+ min per game?,Shoots 50%+ from the field?,Shoots 35%+ from three?,Shoots 80%+ from the line?,Averages 3+ offensive rebounds?,Averages 3+ turnovers?,Played 50+ games this season?,Played 70+ games this season?,Plays in the Eastern Conference?,Plays in the Western Conference?,Plays in the Atlantic Division?,Plays in the Central Division?,Plays in the Southeast Division?,Plays in the Northwest Division?,Plays in the Pacific Division?,Plays in the Southwest Division?,Is his jersey number less than 10?,Is his jersey number between 10 and 19?,Is his jersey number between 20 and 29?,Is his jersey number 30 or higher?,Is his jersey number an odd number?,Is he from the United States?,Is he from Europe?,Is he from Africa?,Is he from Canada?,Is he from Australia?,Is he from South America?,Did he play college basketball?,MPG,Is he 25 or younger?,Is he 30 or older?,Is he 6-8 or taller?,Is he 7 feet or taller?,Was he a first-round pick?,Was he a lottery pick (top 14)?,Was he undrafted?,Averages 5+ APG?,Averages 8+ RPG?,Shoots 40%+ from three?,Does his last name start with A-M?,Does his first name start with A-M?,Does his last name have more than 6 letters?,Does his first name end in a vowel?,Has he been an All-Star?,Has he been an All-Star 3+ times?,Has he won an NBA Championship?,Has he been All-NBA?,Has he won the MVP award?,Has he won Defensive Player of the Year?,Has he made an All-Defensive Team?
Bruce Brown,1628971,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,24.36,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0
Bryce McGowens,1631121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,20.95,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
Bub Carrington,1642267,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,27.69,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
Buddy Boeheim,1631205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3.75,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Buddy Hield,1627741,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,16.06,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
CJ Huntley,1643047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,10.1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
CJ McCollum,203468,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,29.78,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Cade Cunningham,1630595,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,33.93,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0
Caleb Houstan,1631216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4.19,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
Caleb Love,1631126,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,20.67,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Caleb Martin,1628997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,14.76,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Cam Christie,1642353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,8.72,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Cam Spencer,1642285,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,23.81,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
Cam Thomas,1630560,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20.96,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cam Whitmore,1641715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,16.86,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Cameron Johnson,1629661,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,30.5,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
Cameron Payne,1626166,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,17.02,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Caris LeVert,1627747,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,19.24,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Carter Bryant,1642868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,11.52,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Cason Wallace,1641717,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,26.57,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Cedric Coward,1642907,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,25.77,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Chaney Johnson,1643052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,20.45,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Charles Bassey,1629646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,11.75,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Chaz Lanier,1642404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,7.71,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Chet Holmgren,1631096,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,28.95,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0
Chris Boucher,1628449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.46,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0
Chris Livingston,1641753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5.81,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Chris Mañon,1643024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,5.12,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Chris Paul,101108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,14.22,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
Chris Youngblood,1642959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,5.44,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Christian Braun,1631128,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,31.8,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
Christian Koloko,1631132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,13.21,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Chucky Hepburn,1642935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,6.62,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Clint Capela,203991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,12.34,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Coby White,1629632,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,25.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cody Martin,1628998,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,13.79,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Cody Williams,1642262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,24.34,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Colby Jones,1641732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6.82,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Cole Anthony,1630175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,15.05,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
Colin Castleton,1630658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,5.35,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Collin Gillespie,1631221,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,28.52,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
Collin Murray-Boyles,1642867,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,21.85,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Collin Sexton,1629012,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,23.72,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Cooper Flagg,1642843,0,1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,33.48,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Corey Kispert,1630557,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,18.61,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Cormac Ryan,1642504,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,24.61,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Craig Porter Jr.,1641854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,17.93,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Curtis Jones,1642938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,8.77,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
D'Angelo Russell,1626156,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,19.03,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
DaQuan Jeffries,1629610,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,19.97,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
DaRon Holmes II,1641747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,8.38,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Daeqwon Plowden,1631342,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,26.39,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Dalano Banton,1630625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,10.28,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Dalen Terry,1631207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,11.48,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Dalton Knecht,1642261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,10.24,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Daniel Gafford,1629655,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,21.72,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Daniss Jenkins,1642450,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,20.21,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Danny Wolf,1642874,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,20.83,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Dario Saric,203967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,8.25,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Dariq Whitehead,1641727,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,30.47,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Darius Brown,1642468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2.67,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Darius Garland,1629636,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,29.87,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
David Jones Garcia,1642357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,6.18,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
David Roddy,1631223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,14.6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Davion Mitchell,1630558,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,28.58,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
Day'Ron Sharpe,1630549,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,18.71,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
De'Aaron Fox,1628368,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,30.99,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
De'Andre Hunter,1629631,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,26.12,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
De'Anthony Melton,1629001,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,22.96,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
DeAndre Jordan,201599,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,16.57,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1
DeJon Jarreau,1630610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,20.98,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
DeMar DeRozan,201942,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,31.24,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0
Dean Wade,1629731,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,22.33,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Deandre Ayton,1629028,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,27.2,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Dejounte Murray,1627749,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,27.82,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1
Deni Avdija,1630166,0,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,33.32,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
Dennis Schröder,203471,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,24.23,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Dereck Lively II,1641726,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,16.47,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Derik Queen,1642852,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,24.98,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Derrick Jones Jr.,1627884,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,26.99,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Derrick White,1628401,0,0,1,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,34.09,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
Desmond Bane,1630217,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,33.61,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Devin Booker,1626164,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,33.54,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
Devin Carter,1642269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,18.42,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Devin Vassell,1630170,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,30.51,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Dillon Brooks,1628415,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,30.39,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
Dillon Jones,1641794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,5.63,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
Domantas Sabonis,1627734,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,29.66,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0
Dominick Barlow,1631230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,23.78,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Donovan Clingan,1642270,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,27.19,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
Donovan Mitchell,1628378,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,33.46,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0
