Player,PLAYER_ID,Averages 25+ PPG?,Averages 20+ PPG?,Averages 15+ PPG?,Averages 10+ PPG?,Averages 10+ RPG?,Averages 5+ RPG?,Averages 7+ APG?,Averages 4+ APG?,Averages 1.5+ SPG?,Averages 1+ SPG?,Averages 1.5+ BPG?,Averages 1+ BPG?,Averages 3+ 3PM?,Averages 1+ 3PM?,Averages 30+ min per game?,Averages 20+ min per game?,Shoots 50%+ from the field?,Shoots 35%+ from three?,Shoots 80%+ from the line?,Averages 3+ offensive rebounds?,Averages 3+ turnovers?,Played 50+ games this season?,Played 70+ games this season?,Plays in the Eastern Conference?,Plays in the Western Conference?,Plays in the Atlantic Division?,Plays in the Central Division?,Plays in the Southeast Division?,Plays in the Northwest Division?,Plays in the Pacific Division?,Plays in the Southwest Division?,Is his jersey number less than 10?,Is his jersey number between 10 and 19?,Is his jersey number between 20 and 29?,Is his jersey number 30 or higher?,Is his jersey number an odd number?,Is he from the United States?,Is he from Europe?,Is he from Africa?,Is he from Canada?,Is he from Australia?,Is he from South America?,Did he play college basketball?,MPG,Is he 25 or younger?,Is he 30 or older?,Is he 6-8 or taller?,Is he 7 feet or taller?,Was he a first-round pick?,Was he a lottery pick (top 14)?,Was he undrafted?,Averages 5+ APG?,Averages 8+ RPG?,Shoots 40%+ from three?,Does his last name start with A-M?,Does his first name start with A-M?,Does his last name have more than 6 letters?,Does his first name end in a vowel?,Has he been an All-Star?,Has he been an All-Star 3+ times?,Has he won an NBA Championship?,Has he been All-NBA?,Has he won the MVP award?,Has he won Defensive Player of the Year?,Has he made an All-Defensive Team?
Anthony Davis,203076,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,31.28,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1
Anthony Edwards,1630162,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,35.03,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0
Anthony Gill,1630264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,17.29,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Antonio Reeves,1641810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,6.77,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
Ariel Hukporti,1630574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,9.22,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Asa Newell,1642854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,11.36,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Ausar Thompson,1641709,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,25.97,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Austin Reaves,1630559,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,34.54,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Ayo Dosunmu,1630245,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,27.26,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
Bam Adebayo,1628389,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,32.39,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1
Baylor Scheierman,1631248,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,18.56,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Ben Saraf,1642879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,20.83,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ben Sheppard,1641767,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,21.39,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Bennedict Mathurin,1631097,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,30.0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
